uni_name,qs_id
INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO (ITAM),QS00185
INSTITUTO TECNOLOGICO DE BUENOS AIRES (ITBA),QS00186
INTERNATIONAL ISLAMIC UNIVERSITY MALAYSIA (IIUM),QS00187
IOWA STATE UNIVERSITY,QS00188
ISTANBUL TECHNICAL UNIVERSITY,QS00189
ISTANBUL UNIVERSITY,QS00190
IT UNIVERSITY OF COPENHAGEN,QS00191
JAGIELLONIAN UNIVERSITY,QS00192
JAMES COOK UNIVERSITY,QS00193
JILIN UNIVERSITY,QS00194
JOHANNES GUTENBERG UNIVERSITAT MAINZ,QS00195
JOHANNES KEPLER UNIVERSITY LINZ,QS00196
JOHNS HOPKINS UNIVERSITY,QS00197
JORDAN UNIVERSITY OF SCIENCE & TECHNOLOGY,QS00198
JOSAI UNIVERSITY,QS00199
JUSTUS-LIEBIG-UNIVERSITAT GIEßEN,QS00200
UNIVERSITY OF JYVASKYLA,QS00201
KAGOSHIMA UNIVERSITY,QS00202
KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE & TECHNOLOGY,QS00203
KANAZAWA UNIVERSITY,QS00204
KANSAI GAIDAI UNIVERSITY,QS00205
KANSAS STATE UNIVERSITY,QS00206
KARLSRUHE INSTITUTE OF TECHNOLOGY (KIT),QS00207
KASETSART UNIVERSITY,QS00208
KAUNAS UNIVERSITY OF TECHNOLOGY,QS00209
KAZAKH ABLAI KHAN UNIVERSITY OF INTERNATIONAL RELATIONS AND WORLD LANGUAGES,QS00210
KAZAKH NATIONAL PEDAGOGICAL UNIVERSITY ABAI,QS00211
KAZAKH NATIONAL TECHNICAL UNIVERSITY,QS00212
KAZAKH-BRITISH TECHNICAL UNIVERSITY,QS00213
KAZAN FEDERAL UNIVERSITY,QS00214
KEELE UNIVERSITY,QS00215
KEIO UNIVERSITY,QS00216
KHAZAR UNIVERSITY,QS00217
KHON KAEN UNIVERSITY,QS00218
KING ABDUL AZIZ UNIVERSITY (KAU),QS00219
KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY,QS00220
KING FAHD UNIVERSITY OF PETROLEUM & MINERALS,QS00221
KING FAISAL UNIVERSITY,QS00222
KING KHALID UNIVERSITY,QS00223
KING MONGKUT'S UNIVERSITY OF TECHNOLOGY THONBURI,QS00224
KING SAUD UNIVERSITY,QS00225
KING'S COLLEGE LONDON (KCL),QS00226
KINGSTON UNIVERSITY LONDON,QS00227
KOBE UNIVERSITY,QS00228
KOC UNIVERSITY,QS00229
KOREA UNIVERSITY,QS00230
KTH ROYAL INSTITUTE OF TECHNOLOGY,QS00231
KUMAMOTO UNIVERSITY,QS00232
KUWAIT UNIVERSITY,QS00233
KYOTO UNIVERSITY,QS00234
KYOTO WOMEN'S UNIVERSITY,QS00235
KYUNG HEE UNIVERSITY,QS00236
KYUNGPOOK NATIONAL UNIVERSITY,QS00237
KYUSHU UNIVERSITY,QS00238
L.N. GUMILYOV EURASIAN NATIONAL UNIVERSITY,QS00239
LA TROBE UNIVERSITY,QS00240
LANCASTER UNIVERSITY,QS00241
LEHIGH UNIVERSITY,QS00242
LEIDEN UNIVERSITY,QS00243
LINCOLN UNIVERSITY LINCOLN UNIVERSITY,QS00244
LINGNAN UNIVERSITY (HONG KONG),QS00245
LINKOPING UNIVERSITY,QS00246
LOBACHEVSKY STATE UNIVERSITY OF NIZHNI NOVGOROD,QS00247
LODZ UNIVERSITY,QS00248
LOMONOSOV MOSCOW STATE UNIVERSITY,QS00249
LONDON METROPOLITAN UNIVERSITY,QS00250
LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),QS00251
LOUGHBOROUGH UNIVERSITY,QS00252
LOUISIANA STATE UNIVERSITY,QS00253
LOYOLA UNIVERSITY CHICAGO,QS00254
LUDWIG-MAXIMILIANS-UNIVERSITAT MUNCHEN,QS00255
LUND UNIVERSITY,QS00256
MAASTRICHT UNIVERSITY,QS00257
MACQUARIE UNIVERSITY,QS00258
MAHIDOL UNIVERSITY,QS00259
MANCHESTER METROPOLITAN UNIVERSITY,QS00260
MARQUETTE UNIVERSITY,QS00261
MARTIN-LUTHER-UNIVERSITAT HALLE-WITTENBERG,QS00262
MASARYK UNIVERSITY,QS00263
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),QS00264
MASSEY UNIVERSITY,QS00265
MAYO MEDICAL SCHOOL,QS00266
MCGILL UNIVERSITY,QS00267
MCMASTER UNIVERSITY,QS00268
MEMORIAL UNIVERSITY OF NEWFOUNDLAND,QS00269
MIAMI UNIVERSITY,QS00270
MICHIGAN STATE UNIVERSITY,QS00271
MICHIGAN TECHNOLOGICAL UNIVERSITY,QS00272
MIDDLE EAST TECHNICAL UNIVERSITY,QS00273
MIDDLESEX UNIVERSITY,QS00274
MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY,QS00275
MONASH UNIVERSITY,QS00276
MOSCOW INSTITUTE OF PHYSICS AND TECHNOLOGY STATE UNIVERSITY,QS00277
MOSCOW STATE INSTITUTE OF INTERNATIONAL RELATIONS (MGIMO-UNIVERSITY),QS00278
MURDOCH UNIVERSITY,QS00279
NAGASAKI UNIVERSITY,QS00280
NAGOYA UNIVERSITY,QS00281
NANJING UNIVERSITY,QS00282
NANKAI UNIVERSITY,QS00283
NANYANG TECHNOLOGICAL UNIVERSITY (NTU),QS00284
NATIONAL AND KAPODISTRIAN UNIVERSITY OF ATHENS,QS00285
NATIONAL CENTRAL UNIVERSITY,QS00286
NATIONAL CHENG KUNG UNIVERSITY,QS00287
NATIONAL CHENGCHI UNIVERSITY,QS00288
NATIONAL CHIAO TUNG UNIVERSITY,QS00289
NATIONAL CHUNG HSING UNIVERSITY,QS00290
NATIONAL INSTITUTE OF DEVELOPMENT ADMINISTRATION (NIDA),QS00291
NATIONAL RESEARCH UNIVERSITY – HIGHER SCHOOL OF ECONOMICS (HSE),QS00292
NATIONAL SUN YAT-SEN UNIVERSITY,QS00293
NATIONAL TAIPEI UNIVERSITY OF TECHNOLOGY,QS00294
NATIONAL TAIWAN NORMAL UNIVERSITY,QS00295
NATIONAL TAIWAN UNIVERSITY (NTU),QS00296
NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY (FORMERLY NATIONAL TAIWAN INSTITUTE OF TECHNOLOGY),QS00297
NATIONAL TECHNICAL UNIVERSITY OF ATHENS,QS00298
NATIONAL TSING HUA UNIVERSITY,QS00299
NATIONAL UNIVERSITY OF IRELAND GALWAY,QS00300
NATIONAL UNIVERSITY OF IRELAND MAYNOOTH,QS00301
NATIONAL UNIVERSITY OF SCIENCES AND TECHNOLOGY (NUST) ISLAMABAD,QS00302
NATIONAL UNIVERSITY OF SINGAPORE (NUS),QS00303
NATIONAL YANG MING UNIVERSITY,QS00304
NEOMA BUSINESS SCHOOL,QS00305
NEW JERSEY INSTITUTE OF TECHNOLOGY (NJIT),QS00306
NEW SCHOOL UNIVERSITY,QS00307
NEW YORK FILM ACADEMY,QS00308
NEW YORK UNIVERSITY (NYU),QS00309
NEWCASTLE UNIVERSITY,QS00310
NICOLAUS COPERNICUS UNIVERSITY,QS00311
NIIGATA UNIVERSITY,QS00312
NORTH CAROLINA A & T STATE UNIVERSITY,QS00313
NORTH CAROLINA STATE UNIVERSITY,QS00314
NORTHEASTERN UNIVERSITY,QS00315
NORTHUMBRIA UNIVERSITY AT NEWCASTLE,QS00316
NORTHWESTERN UNIVERSITY,QS00317
NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,QS00318
NOTTINGHAM TRENT UNIVERSITY,QS00319
NOVOSIBIRSK STATE UNIVERSITY,QS00320
OCHANOMIZU UNIVERSITY,QS00321
OHIO STATE UNIVERSITY,QS00322
OHIO UNIVERSITY,QS00323
OKAYAMA UNIVERSITY,QS00324
OKLAHOMA STATE UNIVERSITY,QS00325
OREBRO UNIVERSITY,QS00326
OREGON STATE UNIVERSITY,QS00327
OSAKA CITY UNIVERSITY,QS00328
OSAKA PREFECTURE UNIVERSITY,QS00329
OSAKA UNIVERSITY,QS00330
OXFORD BROOKES UNIVERSITY,QS00331
PEKING UNIVERSITY,QS00332
PENNSYLVANIA STATE UNIVERSITY,QS00333
PEOPLE'S FRIENDSHIP UNIVERSITY OF RUSSIA,QS00334
PERUGIA UNIVERSITY,QS00335
PHILIPPS-UNIVERSITAT MARBURG,QS00336
PLEKHANOV RUSSIAN UNIVERSITY OF ECONOMICS,QS00337
POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),QS00338
POLITECNICO DI MILANO,QS00339
POLITECNICO DI TORINO,QS00340
POLYTECHNIC INSTITUTE OF LISBON,QS00341
PONTIFICIA UNIVERSIDAD CATOLICA ARGENTINA SANTA MARIA DE LOS BUENOS AIRES - UCA,QS00342
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,QS00343
PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,QS00344
PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,QS00345
PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,QS00346
PONTIFICIA UNIVERSIDAD JAVERIANA,QS00347
PONTIFICIA UNIVERSIDADE CATOLICA DE SAO PAULO (PUC -SP),QS00348
PONTIFICIA UNIVERSIDADE CATOLICA DO RIO DE JANEIRO (PUC - RIO),QS00349
PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL,QS00350
PRINCE OF SONGKLA UNIVERSITY,QS00351
PRINCETON UNIVERSITY,QS00352
PURDUE UNIVERSITY,QS00353
PUSAN NATIONAL UNIVERSITY,QS00354
QAFQAZ UNIVERSITY,QS00355
QATAR UNIVERSITY,QS00356
QUEEN MARY UNIVERSITY OF LONDON (QMUL),QS00357
