uni_name,urap_id
DALIAN JIAOTONG UNIVERSITY,URAP00299
DALIAN MARITIME UNIVERSITY,URAP00300
DALIAN MEDICAL UNIVERSITY,URAP00301
DALIAN UNIVERSITY,URAP00302
DALIAN UNIVERSITY OF TECHNOLOGY,URAP00303
DAMASCUS UNIVERSITY,URAP00304
DANESHGAHE AZAD ESLAMI,URAP00305
DANESHGAHE MAZANDARAN,URAP00306
DANESHGAHE OLOOM PEZESHKI VA KHADAMAT BEHDASHTI DARMANI IRAN,URAP00307
DANESHGAHE SHAHID BAHONAR-E-KERMAN,URAP00308
DANESHGAHE SHAHID BAHONAREEEKERMAN,URAP00309
DANESHGAHE TABRIZ,URAP00310
DANESHGAHE TARBIAT MODARES,URAP00311
DANKOOK UNIVERSITY,URAP00312
DARTMOUTH COLLEGE,URAP00313
DAVIDSON COLLEGE,URAP00314
DE LA SALLE UNIVERSITY,URAP00315
DE MONTFORT UNIVERSITY,URAP00316
DEAKIN UNIVERSITY,URAP00317
DELFT UNIVERSITY OF TECHNOLOGY,URAP00318
DEMOKRITOS UNIVERSITY OF THRACE,URAP00319
DEPAUL UNIVERSITY,URAP00320
DICKINSON COLLEGE,URAP00321
DICLE UNIVERSITY,URAP00322
DOGUS UNIVERSITY,URAP00323
DOKKYO MEDICAL UNIVERSITY,URAP00324
DOKKYO UNIVERSITY,URAP00325
DOKUZ EYLUL UNIVERSITY,URAP00326
DONETSK NATIONAL UNIVERSITY,URAP00327
DONG EUI UNIVERSITY,URAP00328
DONG-A UNIVERSITY,URAP00329
DONGGUK UNIVERSITY,URAP00330
DONGHUA UNIVERSITY,URAP00331
DOSHISHA UNIVERSITY,URAP00332
DRAKE UNIVERSITY,URAP00333
DREXEL UNIVERSITY,URAP00334
DUBLIN CITY UNIVERSITY,URAP00335
DUBLIN INSTITUTE OF TECHNOLOGY,URAP00336
DUKE UNIVERSITY,URAP00337
DUMLUPINAR UNIVERSITY,URAP00338
DUQUESNE UNIVERSITY,URAP00339
DURHAM UNIVERSITY,URAP00340
DUZCE UNIVERSITY,URAP00341
EAST CAROLINA UNIVERSITY,URAP00342
EAST CHINA NORMAL UNIVERSITY,URAP00343
EAST CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00344
EAST TENNESSEE STATE UNIVERSITY,URAP00345
EASTERN ILLINOIS UNIVERSITY,URAP00346
EASTERN KENTUCKY UNIVERSITY,URAP00347
EASTERN MEDITERRANEAN UNIVERSITY,URAP00348
EASTERN MICHIGAN UNIVERSITY,URAP00349
EASTERN VIRGINIA MEDICAL SCHOOL,URAP00350
ECOLE CENTRALE DE LYON,URAP00351
ECOLE CENTRALE PARIS,URAP00352
ECOLE DE TECHNOLOGIE SUPERIEURE,URAP00353
ECOLE DES HAUTES ETUDES EN SCIENCES SOCIALES,URAP00354
ECOLE DES MINES DE PARIS,URAP00355
ECOLE NATIONALE DES PONTS ET CHAUSSEES,URAP00356
ECOLE NATIONALE SUPERIEURE DES MINES DE SAINT ETIENNE,URAP00357
